bin,from,to,"<-","=","->","<<-",":="
0,0,0,0.040270074752833375,0.5389438148058838,0.9756450446105619,0.987460815047022,0.9910778876296118
1,0,0.1,0.17964793826862793,0.301904991560164,0.02001446829033036,0.012298046780805401,0.007957559681697613
2,0.1,0.2,0.26790450928381965,0.06028454304316373,0.003134796238244514,0,0.0009645526886906198
3,0.2,0.3,0.21678321678321677,0.04316373281890523,0.0009645526886906198,0,0
4,0.3,0.4,0.17313720761996623,0.034482758620689655,0.00024113817217265494,0,0
5,0.4,0.5,0.07137689896310585,0.014950566674704605,0,0.00024113817217265494,0
6,0.5,0.6,0.032071376898963104,0.003134796238244514,0,0,0
7,0.6,0.7,0.009886665059078852,0.0014468290330359296,0,0,0
8,0.7,0.8,0.004822763443453099,0.0007234145165179648,0,0,0
9,0.8,0.9,0.0012056908608632747,0.00024113817217265494,0,0,0
10,0.9,1,0.0009645526886906198,0.0004822763443453099,0,0,0
11,1,1.1,0.00024113817217265494,0,0,0,0
12,1.1,1.2,0.00024113817217265494,0,0,0,0
13,1.2,1.3,0.00024113817217265494,0,0,0,0
14,1.3,1.4,0,0,0,0,0
15,1.4,1.5,0,0,0,0,0
16,1.5,1.6,0,0,0,0,0
17,1.6,1.7,0,0,0,0,0
18,1.7,1.8,0,0.00024113817217265494,0,0,0
19,1.8,1.9,0,0,0,0,0
20,1.9,2,0,0,0,0,0
21,2,2.1,0.0007234145165179648,0,0,0,0
22,2.1,2.2,0,0,0,0,0
23,2.2,2.3,0,0,0,0,0
24,2.3,2.4,0,0,0,0,0
25,2.4,2.5,0,0,0,0,0
26,2.5,2.6,0,0,0,0,0
27,2.6,2.7,0,0,0,0,0
28,2.7,2.8,0,0,0,0,0
29,2.8,2.9,0,0,0,0,0
30,2.9,3,0,0,0,0,0
31,3,3.1,0,0,0,0,0
32,3.1,3.2,0,0,0,0,0
33,3.2,3.3,0,0,0,0,0
34,3.3,3.4,0.00024113817217265494,0,0,0,0
35,3.4,3.5,0,0,0,0,0
36,3.5,3.6,0,0,0,0,0
37,3.6,3.7,0,0,0,0,0
38,3.7,3.8,0,0,0,0,0
39,3.8,3.9,0,0,0,0,0
40,3.9,4,0,0,0,0,0
41,4,4.1,0,0,0,0,0
42,4.1,4.2,0,0,0,0,0
43,4.2,4.3,0,0,0,0,0
44,4.3,4.4,0,0,0,0,0
45,4.4,4.5,0,0,0,0,0
46,4.5,4.6,0,0,0,0,0
47,4.6,4.7,0,0,0,0,0
48,4.7,4.8,0,0,0,0,0
49,4.8,4.9,0,0,0,0,0
50,4.9,5,0,0,0,0,0
51,5,5.1,0,0,0,0,0
52,5.1,5.2,0,0,0,0,0
53,5.2,5.3,0,0,0,0,0
54,5.3,5.4,0,0,0,0,0
55,5.4,5.5,0,0,0,0,0
56,5.5,5.6,0,0,0,0,0
57,5.6,5.7,0,0,0,0,0
58,5.7,5.8,0,0,0,0,0
59,5.8,5.9,0,0,0,0,0
60,5.9,6,0,0,0,0,0
61,6,6.1,0,0,0,0,0
62,6.1,6.2,0,0,0,0,0
63,6.2,6.3,0,0,0,0,0
64,6.3,6.4,0,0,0,0,0
65,6.4,6.5,0,0,0,0,0
66,6.5,6.6,0,0,0,0,0
67,6.6,6.7,0,0,0,0,0
68,6.7,6.8,0,0,0,0,0
69,6.8,6.9,0,0,0,0,0
70,6.9,7,0.00024113817217265494,0,0,0,0
71,7,7.1,0,0,0,0,0
72,7.1,7.2,0,0,0,0,0
73,7.2,7.3,0,0,0,0,0
74,7.3,7.4,0,0,0,0,0
75,7.4,7.5,0,0,0,0,0
76,7.5,7.6,0,0,0,0,0
77,7.6,7.7,0,0,0,0,0
78,7.7,7.8,0,0,0,0,0
79,7.8,7.9,0,0,0,0,0
80,7.9,8,0,0,0,0,0
